TIPO_PRODUTO;NOME_PRODUTO;NUMERO_REGISTRO_PRODUTO;CLASSE_TERAPEUTICA
MEDICAMENTO;ACETATO DE DEXAMETASONA;102350848;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
MEDICAMENTO;ACETATO DE DEXAMETASONA;105830544;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
MEDICAMENTO;ACETATO DE DEXAMETASONA;135690424;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
MEDICAMENTO;ACETATO DE DEXAMETASONA;118190173;ANTINFLAMATORIOS
MEDICAMENTO;ACETATO DE DEXAMETASONA + VITAMINAS;105750050;ANTINFLAMATORIOS ANTIREUMATICOS
MEDICAMENTO;ACETATO DE DEXAMETAZONA;112330014;GLICOCORTICOIDES SISTEMICOS
MEDICAMENTO;ACETATO DE DI-ALFATOCOFEROL/ACIDO ASCORBICO/BETACAROTENO/SELENIO;124510035;VITAMINAS E SUPLEMENTOS MINERAIS
MEDICAMENTO;ACETATO DE DL ALFA TOCOFERIL;137950013;MONOVITAMINAS EXCETO VITAMINA K
MEDICAMENTO;ACETATO DE DL ALFA TOCOFERILA;101750007;MONOVITAMINAS EXCETO VITAMINA K
MEDICAMENTO;ACETATO DE EPTIFIBATIDE;100930193;ANTITROMBOTICO
MEDICAMENTO;ACETATO DE GUANABENZO;100330033;ANTI-HIPERTENSIVOS SIMPLES
MEDICAMENTO;ACETATO DE HIDROCORTISONA;107150155;ANTI-FLOGISTICO E ANTI-PRURIGINOSO
MEDICAMENTO;ACETATO DE HIDROCORTISONA;118610123;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
MEDICAMENTO;ACETATO DE HIDROCORTISONA;118610236;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
MEDICAMENTO;ACETATO DE HIDROCORTISONA;104971333;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
MEDICAMENTO;ACETATO DE LEUPROLIDE;111240215;OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES
MEDICAMENTO;ACETATO DE MEDROXIPROGESTERONA;100640055;PROGESTAGENOS SIMPLES
MEDICAMENTO;ACETATO DE MEDROXIPROGESTERONA;100430623;PROGESTAGENOS SIMPLES
MEDICAMENTO;ACETATO DE MEDROXIPROGESTERONA;105730243;PROGESTAGENOS SIMPLES
MEDICAMENTO;ACETATO DE MEDROXIPROGESTERONA;104400012;PROGESTAGENOS SIMPLES
MEDICAMENTO;ACETATO DE MEDROXIPROGESTERONA;104970001;PROGESTAGENOS SIMPLES
MEDICAMENTO;ACETATO DE MEDROXIPROGESTERONA];101710087;PROGESTAGENOS SIMPLES
MEDICAMENTO;ACETATO DE MEGESTROL;120690014;ANTINEOPLASICO
MEDICAMENTO;ACETATO DE MEGESTROL;121170138;ANTINEOPLASICO
MEDICAMENTO;ACETATO DE MEGESTROL;122140058;ANTINEOPLASICO
MEDICAMENTO;ACETATO DE MEGESTROL;150820048;ANTINEOPLASICO
MEDICAMENTO;ACETATO DE NORETINDRONA + ETINILESTRADIOL;102160073;ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS
MEDICAMENTO;ACETATO DE NORETINDRONA + ETINILESTRADIOL/ FUMARATO FERROSO;102160077;ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS
MEDICAMENTO;ACETATO DE POTASSIO;100850027;ELETROLITOS SIMPLES
MEDICAMENTO;ACETATO DE PREDNISOLONA;100230247;GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES
MEDICAMENTO;ACETATO DE PREDNISOLONA;154230190;GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES
MEDICAMENTO;ACETATO DE PREDNISOLONA;100681091;GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES
MEDICAMENTO;ACETATO DE RETINOL;102680084;MONOVITAMINAS EXCETO VITAMINA K
MEDICAMENTO;ACETATO DE RETINOL;137950011;MONOVITAMINAS EXCETO VITAMINA K
MEDICAMENTO;ACETATO DE RETINOL (50.000 UI);135480052;MONOVITAMINAS EXCETO VITAMINA K
MEDICAMENTO;ACETATO DE RETINOL + ASSOCIADOS;123890062;POLIVITAMINICOS COM MINERAIS
MEDICAMENTO;ACETATO DE RETINOL + ASSOCIAÇÕES;145330008;POLIVITAMINICOS COM MINERAIS
MEDICAMENTO;ACETATO DE RETINOL + ASSOSSIACAO;123890069;POLIVITAMINICOS SEM MINERAIS
MEDICAMENTO;ACETATO DE RETINOL + COLECALCIFEROL;103920103;VITAMINAS E SUPLEMENTOS MINERAIS
MEDICAMENTO;ACETATO DE RETINOL E BETACAROTENO;129820003;VITAMINAS E SUPLEMENTOS MINERAIS
MEDICAMENTO;ACETATO DE SODIO;100850028;ELETROLITOS SIMPLES
MEDICAMENTO;ACETATO DE SODIO + ASSOCIAÇOES;107040010;PRODUTOS PARA HEMODIALISE
MEDICAMENTO;ACETATO DE SÓDIO;101620093;ELETROLITOS SIMPLES
MEDICAMENTO;ACETATO DE SÓDIO;164000004;ELETROLITOS SIMPLES
MEDICAMENTO;ACETATO DE TOCOFEROL;104670114;POLIVITAMINICOS COM MINERAIS
MEDICAMENTO;ACETATO DE TOCOFEROL;139020011;MONOVITAMINAS EXCETO VITAMINA K
MEDICAMENTO;ACETATO DE TOCOFEROL + ÁCIDO ASCÓRBICO + BETACAROTENO + SELÊNIO;105730204;VITAMINAS E SUPLEMENTOS MINERAIS
MEDICAMENTO;ACETATO DE ZINCO B.BRAUN;100850029;ELETROLITOS SIMPLES
MEDICAMENTO;ACETATO RETINOL + CLORIDRATO TIAMINA + ASSOCIAÇÕES;125740027;POLIVITAMINICOS COM MINERAIS
MEDICAMENTO;ACETAZOLAMIDA;101180136;DIURETICOS
MEDICAMENTO;ACETAZOLAMIDA;102350413;DIURETICOS
MEDICAMENTO;ACETAZONA;109630046;GLICOCORTICOIDES SISTEMICOS
MEDICAMENTO;ACETICIL;107150069;ANALGESICOS
MEDICAMENTO;ACETILASA;110860017;ANALGESICOS NAO NARCOTICOS
MEDICAMENTO;ACETILCISTEINA;100430761;EXPECTORANTES BALSAMICOS E MUCOLITICO
MEDICAMENTO;ACETILCISTEINA;100430772;EXPECTORANTES BALSAMICOS E MUCOLITICO
MEDICAMENTO;ACETILCISTEINA;100840164;EXPECTORANTES BALSAMICOS E MUCOLITICO
MEDICAMENTO;ACETILCISTEINA;102350630;EXPECTORANTES BALSAMICOS E MUCOLITICO
MEDICAMENTO;ACETILCISTEINA;105830286;EXPECTORANTES BALSAMICOS E MUCOLITICO
MEDICAMENTO;ACETILCISTEINA;101810501;EXPECTORANTES BALSAMICOS E MUCOLITICO
MEDICAMENTO;ACETILCISTEINA;155840519;EXPECTORANTES BALSAMICOS E MUCOLITICO
MEDICAMENTO;ACETILCISTEINA;112130486;EXPECTORANTES BALSAMICOS E MUCOLITICO
MEDICAMENTO;ACETILCISTEINA;105730648;EXPECTORANTES BALSAMICOS E MUCOLITICO
MEDICAMENTO;ACETILCISTEÍNA;125680100;EXPECTORANTES BALSAMICOS E MUCOLITICO
MEDICAMENTO;ACETILCISTEÍNA;102350631;EXPECTORANTES BALSAMICOS E MUCOLITICO
MEDICAMENTO;ACETILCISTEÍNA;105830289;EXPECTORANTES BALSAMICOS E MUCOLITICO
MEDICAMENTO;ACETILCISTEÍNA;135690264;EXPECTORANTES BALSAMICOS E MUCOLITICO
MEDICAMENTO;ACETILCISTEÍNA;135690259;EXPECTORANTES BALSAMICOS E MUCOLITICO
MEDICAMENTO;ACETILCISTEÍNA;125680127;EXPECTORANTES BALSAMICOS E MUCOLITICO
MEDICAMENTO;ACETILCISTEÍNA;103940512;EXPECTORANTES BALSAMICOS E MUCOLITICO
MEDICAMENTO;ACETILCISTEÍNA;155840044;EXPECTORANTES BALSAMICOS E MUCOLITICO
MEDICAMENTO;ACETILCISTEÍNA;154230108;EXPECTORANTES BALSAMICOS E MUCOLITICO
MEDICAMENTO;ACETILCISTEÍNA;167730211;EXPECTORANTES BALSAMICOS E MUCOLITICO
MEDICAMENTO;ACETILCISTEÍNA;167730222;EXPECTORANTES BALSAMICOS E MUCOLITICO
MEDICAMENTO;ACETILDOR;109630036;ANALGESICOS NAO NARCOTICOS
MEDICAMENTO;ACETILESSIN;110570031;ANALGESICOS
MEDICAMENTO;ACETILMETIONINA+ASSCIACOES;102290015;COLAGOGOS E COLERETICOS
MEDICAMENTO;ACETILSALICILATO DE LISINA;120330008;ANALGESICOS NAO NARCOTICOS
MEDICAMENTO;ACETILSALIL;100430667;PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE
MEDICAMENTO;ACETITOL;105350109;ANALGESICOS
MEDICAMENTO;ACETOFENIDO DE ALGESTONA+ENATATO DE ESTRADIOL;102940082;HORMONIOS SEXUAIS EXCLUSIVE OCITOCICOS
MEDICAMENTO;ACETOFLUX;102350036;PROGESTAGENOS SIMPLES
MEDICAMENTO;ACETONIDA DE TRIANCINOLONA;135690249;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
MEDICAMENTO;ACETONIDA DE TRIANCINOLONA;154230131;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
MEDICAMENTO;ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NIS;135690258;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS
MEDICAMENTO;ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NIS;135690265;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS
MEDICAMENTO;ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NIS;104920156;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
MEDICAMENTO;ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NIS;104920157;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
MEDICAMENTO;ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NIS;167730214;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS
MEDICAMENTO;ACETONIDO DE FLUOCINOLONA;129160047;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
MEDICAMENTO;ACETONIDO DE FLUOCINOLONA + ASSOCIACOES;104450084;MEDICAMENTOS COM ACAO NO APARELHO AUDITIVO
MEDICAMENTO;ACETONIDO DE FLUOCINOLONA + NEOMICINA + POLIMIXINA B + LIDOCAÍNA;101620221;MEDICAMENTOS COM ACAO NO APARELHO AUDITIVO
MEDICAMENTO;ACETONIDO DE FLUOCINOLONA+SULFATO DE NEOMICINA+SULFATO DE POLIMIXINA ;102350526;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
MEDICAMENTO;ACETONIDO DE TRIANCINOLONA+SULFATO DE NEOMICINA+GRAMICIDINA+NISTATINA;100430779;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
MEDICAMENTO;ACETONIDO DE TRIANCINOLONA+SULFATO DE NEOMICINA+GRAMICIDINA+NISTATINA;100430780;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
MEDICAMENTO;ACETONIDO DE TRIANCINOLONA+SULFATO DE NEOMICINA+GRAMICIDINA+NISTATINA;102350651;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS
